rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
46,minmax,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6776167853170508,0.013441716379730191,0.6752267979338457,0.7022483029831323,40.76184582710266
47,standard,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.677311123440738,0.0023236482464670883,0.6769432954176189,0.7006249125085922,33.13887357711792
48,standard,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6772581659654927,0.0035702760784739997,0.6743611497690516,0.7011252719441577,37.22464466094971
49,minmax,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6770210235596871,0.0058013480204290166,0.6759604964205139,0.7008755844754214,33.12233090400696
50,standard,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6768221005021218,0.005213731511469604,0.6799337758638884,0.6988751312312518,21.943519830703735
51,minmax,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6765533268350731,0.007501528542963498,0.6772296212235952,0.7003746155886553,24.803231477737427
52,minmax,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6764370909746913,0.005302373417638771,0.679406284317114,0.6992504125281412,21.81269931793213
53,standard,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6762449525527207,0.0054643910275145,0.67577484013621,0.7001255375711195,21.82790446281433
54,robust,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.675966050826086,0.004405601245440724,0.6753206671004562,0.6997502562742298,21.5295512676239
55,robust,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6758858483246915,0.0012794599606778193,0.6730469583423216,0.7007500375281297,36.552823305130005
56,standard,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6758387337144779,0.01046325629515595,0.6738713537187131,0.7009986936179113,41.08169984817505
57,robust,target,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6758194978049606,0.008701919705945506,0.6735509031158863,0.700374099899178,44.13242053985596
58,minmax,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6752852956708563,0.006274694581928866,0.6750360750794107,0.6992500843621104,23.88522434234619
59,minmax,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.675178192962327,0.0026867463682308016,0.6726397448290592,0.6997497405847525,39.93065309524536
60,standard,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.6749984355768078,0.005738613672655427,0.6715825481962309,0.7002493968073945,35.98640322685242
61,robust,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.674464417476365,0.004924148960931985,0.6714168139705482,0.7001247874773343,32.71052551269531
62,robust,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6732002459744931,0.00857355956093041,0.6761845831755692,0.6957487872155514,25.014236211776733
63,minmax,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6729604933603618,0.007999736077377103,0.6752445250577322,0.6956237559577371,25.251766681671143
64,standard,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=3",0.6728365546063881,0.004107378045089657,0.6718399103628289,0.6981248499226419,20.15201687812805
65,standard,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6728336539339864,0.009012500251491735,0.6757716961228541,0.6954987246999226,30.882322311401367
66,minmax,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6727233266262856,0.00773485286745893,0.6729417208369523,0.6971247405027109,20.033198595046997
